# Massive stars first (or whenever).
M,100,110000000,50000,9000
M,60,15000000,42000,40000
M,30,920000,40000,330000
M,25,440000,36000,570000
M,20,180000,32000,1100000
M,15,58000,26000,2600000
M,10,11000,20000,9000000
M,7.5,3600,18000,20000000
M,5,700,14000,70000000
M,3,90,9800,330000000
# Not so massive stars then (or whenever).
#9,A0,9999,99,99,9,9,9,b,c,d
2.0,A5,8200.0,16.0,20.0,1.3,0.2,0.1
1.9,A6,8000.0,13.0,16.0,1.5,0.2,0.1
1.8,A7,7800.0,11.0,13.0,1.8,0.3,0.2
1.7,A9,7500.0,8.6,10.0,2.1,0.3,0.2
1.6,F0,7300.0,6.7,8.2,2.5,0.4,0.2
1.5,F2,7000.0,5.1,6.5,3.0,0.5,0.3
1.45,F3,6900.0,4.3,5.7,3.3,0.5,0.3
1.4,F4,6700.0,3.7,5.1,3.7,0.6,0.4
1.35,F5,6600.0,3.1,4.5,4.1,0.6,0.4
1.3,F6,6500.0,2.5,3.9,4.6,0.7,0.4
1.25,F7,6400.0,2.1,3.5,5.2,0.8,0.5
1.2,F8,6300.0,1.7,3.0,5.9,0.9,0.6
1.15,F9,6100.0,1.4,2.6,6.7,1.0,0.6
1.1,G0,6000.0,1.1,2.2,7.7,1.2,0.7
1.05,G1,5900.0,0.87,1.9,8.8,1.4,0.8
1.0,G2,5800.0,0.68,1.6,10.0,1.6,1.0
0.95,G4,5700.0,0.56,1.3,12.0,1.8,1.1
0.9,G6,5500.0,0.45,1.0,14.0,-,-
0.85,G8,5400.0,0.36,0.84,17.0,-,-
0.8,K0,5200.0,0.28,0.65,20.0,-,-
0.75,K2,4900.0,0.23,0.48,24.0,-,-
0.7,K4,4600.0,0.19,0.35,30.0,-,-
0.65,K5,4400.0,0.15,0.25,37.0,-,-
0.6,K6,4200.0,0.13,0.2,42.0,-,-
0.55,K8,4000.0,0.11,0.15,50.0,-,-
0.5,M0,3800.0,0.09,0.11,59.0,-,-
0.45,M1,3600.0,0.07,0.08,70.0,-,-
0.4,M2,3500.0,0.054,-,-,-
0.35,M3,3400.0,0.037,-,-,-
0.3,M4,3300.0,0.024,-,-,-
0.25,M4,3300.0,0.015,-,-,-
0.2,M5,3200.0,0.0079,-,-,-
0.15,M6,3200.0,0.0036,-,-,-
0.1,M7,3100.0,0.0012,-,-,-
